VisitDate,Time,Test,CHL,Depth,Lab,FieldID
5/11/1992,1240,Chlorophyll-a,7.64,3,VT,9228005
5/27/1992,1045,Chlorophyll-a,1.95,3,NY,9229002
6/2/1992,1035,Chlorophyll-a,6.7,3,NY,9229004
6/22/1992,1130,Chlorophyll-a,3.35,3,VT,9229013
6/29/1992,1030,Chlorophyll-a,2.35,3,NY,9229015
7/27/1992,1100,Chlorophyll-a,8.8,3,NY,9229021
8/26/1992,1015,Chlorophyll-a,20.37,3,VT,9229041
8/26/1992,1015,Chlorophyll-a,12.56,3,NY,9229041
9/22/1992,1005,Chlorophyll-a,9.38,3,VT,9229054
9/22/1992,1005,Chlorophyll-a,10.17,3,NY,9229054
5/6/1993,1010,Chlorophyll-a,4.9,2.2,NY,9342077
6/28/1993,1215,Chlorophyll-a,8.62,2,NY,9342125
7/7/1993,1525,Chlorophyll-a,7.26,3,NY,9341112
7/21/1993,900,Chlorophyll-a,10.95,3,NY,9341155
8/17/1993,1450,Chlorophyll-a,14.49,3,NY,9341197
8/25/1993,1730,Chlorophyll-a,3.47,3,NY,9341233
10/20/1993,1020,Chlorophyll-a,2.94,3,NY,9342340
10/29/1993,1045,Chlorophyll-a,5.83,2.6,NY,9342359
6/8/1994,1200,Chlorophyll-a,7.32,3,NY,9442493
6/30/1994,1220,Chlorophyll-a,3.13,3,NY,9442517
9/19/1994,1150,Chlorophyll-a,14.17,2.6,NY,9442565
10/4/1994,1300,Chlorophyll-a,4.84,2.4,NY,9442593
10/17/1994,1030,Chlorophyll-a,3.47,3,NY,9441638
5/10/1995,1300,Chlorophyll-a,4.47,3,VT,9542676
5/10/1995,1300,Chlorophyll-a,11.9,3,NY,9542676
5/18/1995,1130,Chlorophyll-a,25.3,3,NY,9541738
5/25/1995,1510,Chlorophyll-a,10.21,3,VT,9542684
6/27/1995,1125,Chlorophyll-a,7.87,3,VT,9541765
6/27/1995,1125,Chlorophyll-a,1.77,3,NY,9541765
7/14/1995,1030,Chlorophyll-a,9.33,3,VT,9542700
8/3/1995,1045,Chlorophyll-a,10.94,3,VT,9542729
8/14/1995,1515,Chlorophyll-a,24.7,2.6,NY,9541810
8/24/1995,1045,Chlorophyll-a,19.68,2.6,VT,9542743
9/15/1995,1010,Chlorophyll-a,29.16,2.2,VT,9542755
9/15/1995,1010,Chlorophyll-a,30.5,2.2,NY,9542755
10/2/1995,1100,Chlorophyll-a,14.4,1.6,VT,9542764
10/2/1995,1100,Chlorophyll-a,20.05,1.6,NY,9542764
10/12/1995,1420,Chlorophyll-a,26.1,2.8,NY,9541876
5/28/1996,1621,Chlorophyll-a,11.8,,NY,9641132
6/13/1996,1225,Chlorophyll-a,7.32,3,VT,9641184
6/13/1996,1225,Chlorophyll-a,12,3,NY,9641184
6/25/1996,1315,Chlorophyll-a,2.69,3,VT,9641307
6/25/1996,1315,Chlorophyll-a,4,3,NY,9641307
7/10/1996,1330,Chlorophyll-a,11.71,3,VT,9641229
7/10/1996,1330,Chlorophyll-a,5,3,NY,9641229
7/25/1996,1015,Chlorophyll-a,10.54,3,VT,9641258
7/25/1996,1015,Chlorophyll-a,5,3,NY,9641258
8/2/1996,1230,Chlorophyll-a,16,3,NY,9641375
8/7/1996,1250,Chlorophyll-a,10.24,3,VT,9641285
8/7/1996,1250,Chlorophyll-a,6,3,NY,9641285
8/19/1996,1500,Chlorophyll-a,18,2,NY,9641388
8/23/1996,1230,Chlorophyll-a,7.61,3,VT,9641404
8/23/1996,1230,Chlorophyll-a,4,3,NY,9641404
9/3/1996,1300,Chlorophyll-a,46,1.6,NY,9641501
9/6/1996,1100,Chlorophyll-a,38.05,1.2,VT,9641421
9/6/1996,1100,Chlorophyll-a,41.45,1.2,NY,9641421
9/6/1996,1015,Chlorophyll-a,41.45,3,NY,9641864
9/20/1996,1230,Chlorophyll-a,79.02,1.6,VT,9641439
9/20/1996,1230,Chlorophyll-a,36,1.6,NY,9641439
9/25/1996,1220,Chlorophyll-a,54,3,NY,9641892
10/4/1996,1330,Chlorophyll-a,70.24,1.6,VT,9641449
10/4/1996,1330,Chlorophyll-a,80,1.6,NY,9641449
10/15/1996,1405,Chlorophyll-a,55.7,3,NY,9641947
5/19/1997,1250,Chlorophyll-a,15.68,3,VT,9742093
6/2/1997,1300,Chlorophyll-a,10.64,3,VT,9742109
6/2/1997,1300,Chlorophyll-a,3.98,3,NY,9742109
6/5/1997,1250,Chlorophyll-a,15.3,3,NY,9741131
6/20/1997,1130,Chlorophyll-a,4.34,4.2,NY,9741148
6/20/1997,1115,Chlorophyll-a,2.91,3,VT,9742139
6/24/1997,934,Chlorophyll-a,22.4,3,NY,9741195
7/7/1997,1128,Chlorophyll-a,1.64,3,NY,9741228
7/8/1997,1025,Chlorophyll-a,1.91,3,VT,9742159
7/8/1997,1025,Chlorophyll-a,1,3,NY,9742159
7/16/1997,1600,Chlorophyll-a,10.2,1,NY,9741260
7/21/1997,1448,Chlorophyll-a,4.92,2,NY,9741310
7/23/1997,1220,Chlorophyll-a,4.36,1.8,VT,9742202
8/1/1997,1015,Chlorophyll-a,20.8,2,NY,9741328
8/5/1997,1030,Chlorophyll-a,6.18,2,VT,9742218
8/25/1997,1452,Chlorophyll-a,13.8,3,NY,9741414
8/25/1997,1041,Chlorophyll-a,17.45,2.6,VT,9742261
8/25/1997,1041,Chlorophyll-a,11.7,2.6,NY,9742261
9/9/1997,1240,Chlorophyll-a,4.36,3,VT,9742292
9/9/1997,1240,Chlorophyll-a,2.51,3,NY,9742292
9/22/1997,1515,Chlorophyll-a,6.8,3,NY,9741672
10/1/1997,1300,Chlorophyll-a,7.09,3,VT,9742329
10/1/1997,1300,Chlorophyll-a,9.6,3,NY,9742329
10/6/1997,1345,Chlorophyll-a,8.47,2.8,NY,9741701
10/13/1997,1245,Chlorophyll-a,20.45,3,VT,9742349
10/30/1997,1420,Chlorophyll-a,14.55,3,VT,9742362
10/30/1997,1420,Chlorophyll-a,13.1,3,NY,9742362
4/30/1998,1255,Chlorophyll-a,7.06,2.6,VT,9842050
5/13/1998,1340,Chlorophyll-a,10.51,3,NY,9841064
5/15/1998,1245,Chlorophyll-a,8.82,3,VT,9842065
6/2/1998,1345,Chlorophyll-a,5.74,1.4,VT,9842095
6/19/1998,1440,Chlorophyll-a,8.82,3,VT,9842136
6/30/1998,1330,Chlorophyll-a,7.04,3,NY,9841120
7/10/1998,1330,Chlorophyll-a,3.18,3,VT,9842183
7/22/1998,1345,Chlorophyll-a,8.38,2.4,VT,9842204
8/4/1998,1410,Chlorophyll-a,11.23,3,NY,9841160
8/5/1998,1230,Chlorophyll-a,5.82,3,VT,9842225
8/21/1998,1230,Chlorophyll-a,11.47,2.8,VT,9842256
8/28/1998,1310,Chlorophyll-a,32.27,2.6,NY,9841187
9/9/1998,1100,Chlorophyll-a,12.79,2.8,VT,9842345
9/22/1998,1220,Chlorophyll-a,3.08,3,NY,9841207
9/25/1998,1035,Chlorophyll-a,2.47,2.6,VT,9842319
10/22/1998,1200,Chlorophyll-a,16.41,3,NY,9841217
4/21/1999,1300,Chlorophyll-a,13.58,3,VT,9942045
5/17/1999,1300,Chlorophyll-a,16.13,2.6,NY,9941036
6/3/1999,1040,Chlorophyll-a,14.54,3,VT,9942091
6/4/1999,1410,Chlorophyll-a,8.73,3,NY,9941063
6/17/1999,1050,Chlorophyll-a,19.39,3,VT,9942108
7/7/1999,1100,Chlorophyll-a,20.85,3,NY,9941098
7/12/1999,1050,Chlorophyll-a,31.51,2.2,VT,9942130
7/26/1999,1315,Chlorophyll-a,112.72,1.4,VT,9942151
7/29/1999,1140,Chlorophyll-a,50.33,1.8,NY,9941115
8/6/1999,1315,Chlorophyll-a,116.36,1.2,VT,9942170
8/17/1999,1330,Chlorophyll-a,5.6,2,NY,9941135
8/20/1999,1300,Chlorophyll-a,98.18,1.6,VT,9942188
9/1/1999,1430,Chlorophyll-a,17.94,2.6,VT,9942209
9/2/1999,1100,Chlorophyll-a,19.82,2.4,NY,9941153
9/21/1999,1105,Chlorophyll-a,23.03,2,VT,9942229
10/5/1999,1345,Chlorophyll-a,15.51,3,VT,9942251
5/1/2000,1330,Chlorophyll-a,16.59,2.2,VT,200042197
5/4/2000,1200,Chlorophyll-a,8.53,2.4,NY,200041061
5/18/2000,1100,Chlorophyll-a,8,2.8,VT,200042236
5/29/2000,1250,Chlorophyll-a,7.64,3,VT,200042270
6/1/2000,1140,Chlorophyll-a,21.3,2.8,NY,200041093
6/13/2000,1300,Chlorophyll-a,8.18,3,VT,200042299
6/27/2000,1100,Chlorophyll-a,1.11,3,VT,200042314
7/12/2000,1250,Chlorophyll-a,6.55,3,VT,200042335
7/21/2000,1245,Chlorophyll-a,7.19,3,NY,200041161
7/26/2000,1335,Chlorophyll-a,5.27,3,VT,200042368
8/8/2000,1045,Chlorophyll-a,2.91,3,VT,200042390
8/10/2000,1125,Chlorophyll-a,5.24,3,NY,200041191
8/25/2000,1055,Chlorophyll-a,4.18,3,VT,200042418
9/11/2000,1300,Chlorophyll-a,2.13,3,NY,200041222
9/13/2000,1315,Chlorophyll-a,4,3.3,VT,200042438
10/3/2000,1025,Chlorophyll-a,4.73,3,VT,200042453
10/13/2000,1000,Chlorophyll-a,8.17,2,NY,200041274
6/26/2001,1135,Chlorophyll-a,2.02,3,VT,200142189
7/5/2001,1155,Chlorophyll-a,6.03,3,VT,200141195
7/26/2001,1015,Chlorophyll-a,5.24,3,VT,200142242
8/3/2001,1145,Chlorophyll-a,6.23,3,VT,200141230
8/6/2001,1325,Chlorophyll-a,9.42,3,VT,200142264
8/23/2001,1030,Chlorophyll-a,36.73,2.6,VT,200142287
9/11/2001,1215,Chlorophyll-a,8.31,3,VT,200142314
9/19/2001,1405,Chlorophyll-a,9.63,3,VT,200141275
9/27/2001,1310,Chlorophyll-a,11.28,3,VT,200142339
10/11/2001,1000,Chlorophyll-a,5.2,3,VT,200141293
5/30/2002,1115,Chlorophyll-a,6.06,3,VT,200242181
6/7/2002,1120,Chlorophyll-a,8.77,2.2,VT,200241105
6/17/2002,1100,Chlorophyll-a,3.63,2,VT,200242231
6/25/2002,1100,Chlorophyll-a,5.97,3,VT,200241157
7/1/2002,1020,Chlorophyll-a,14.88,3,VT,200242259
7/16/2002,1200,Chlorophyll-a,3.15,3,VT,200241160
7/16/2002,1025,Chlorophyll-a,6.81,3,VT,200242289
8/8/2002,1010,Chlorophyll-a,13.64,3,VT,200242315
8/21/2002,1030,Chlorophyll-a,6.35,3,VT,200242339
9/24/2002,1300,Chlorophyll-a,11.07,3,VT,200241238
10/3/2002,1015,Chlorophyll-a,13.74,2,VT,200242361
10/15/2002,1300,Chlorophyll-a,13.14,3,VT,200241262
5/16/2003,1000,Chlorophyll-a,7.09,3,VT,200342119
5/28/2003,1045,Chlorophyll-a,9.45,3,VT,200342140
5/29/2003,1100,Chlorophyll-a,8.28,3,VT,200341081
6/12/2003,1035,Chlorophyll-a,8.25,3,VT,200342171
6/13/2003,1345,Chlorophyll-a,8.02,3,VT,200341110
6/24/2003,950,Chlorophyll-a,7.89,3,VT,200342192
7/8/2003,955,Chlorophyll-a,8.54,3,VT,200342217
7/14/2003,1300,Chlorophyll-a,21.8,3,VT,200341119
7/22/2003,1020,Chlorophyll-a,16.2,2.6,VT,200342236
8/7/2003,1010,Chlorophyll-a,10.2,2.8,VT,200342267
8/19/2003,1500,Chlorophyll-a,39.9,3,VT,200341169
8/28/2003,1000,Chlorophyll-a,30.6,2,VT,200342300
9/17/2003,1110,Chlorophyll-a,12.9,3,VT,200341194
10/1/2003,1100,Chlorophyll-a,4.18,3,VT,200341222
5/11/2004,1140,Chlorophyll-a,6.8,3,VT,200441042
5/14/2004,1055,Chlorophyll-a,5.24,3,VT,200442089
6/8/2004,1345,Chlorophyll-a,6.29,3,VT,200441088
6/10/2004,1030,Chlorophyll-a,13.3,3,VT,200442135
6/30/2004,1015,Chlorophyll-a,9.2,3,VT,200442165
7/12/2004,1250,Chlorophyll-a,7.09,3,VT,200441111
7/21/2004,1030,Chlorophyll-a,17.6,2.4,VT,200442211
8/2/2004,1530,Chlorophyll-a,27.15,2.4,VT,200441143
8/9/2004,1020,Chlorophyll-a,31.6,1.6,VT,200442243
8/24/2004,1015,Chlorophyll-a,1.84,1.4,VT,200442279
9/8/2004,1025,Chlorophyll-a,15.8,2,VT,200442327
9/22/2004,1130,Chlorophyll-a,21.2,2.8,VT,200441209
9/22/2004,1055,Chlorophyll-a,24.2,2,VT,200442360
10/1/2004,1025,Chlorophyll-a,21.6,2.2,VT,200442382
5/18/2005,1055,Chlorophyll-a,11.3,3,VT,200542174
6/6/2005,1105,Chlorophyll-a,4.38,3,VT,200542219
6/21/2005,1010,Chlorophyll-a,8.96,3,VT,200542252
6/29/2005,1130,Chlorophyll-a,5.52,3,VT,200541076
7/5/2005,1030,Chlorophyll-a,6.46,3,VT,200542268
7/18/2005,1015,Chlorophyll-a,13.1,3,VT,200542291
7/28/2005,1020,Chlorophyll-a,25.6,1.8,VT,200542314
8/11/2005,1030,Chlorophyll-a,28.1,1.8,VT,200542338
8/15/2005,1230,Chlorophyll-a,19.3,2,VT,200541135
8/22/2005,1035,Chlorophyll-a,29,1.6,VT,200542358
9/2/2005,1040,Chlorophyll-a,11,2.6,VT,200542395
9/16/2005,1200,Chlorophyll-a,6.21,3,VT,200541185
9/27/2005,1020,Chlorophyll-a,16.7,2.8,VT,200542425
10/28/2005,1040,Chlorophyll-a,1.92,3,VT,200542505
4/20/2006,1135,Chlorophyll-a,9.46,3,VT,200642061
5/9/2006,1025,Chlorophyll-a,9.95,3,VT,200642087
5/23/2006,1045,Chlorophyll-a,2.77,1,VT,200642144
6/7/2006,1015,Chlorophyll-a,2.66,3,VT,200642163
6/9/2006,945,Chlorophyll-a,4.61,3,VT,200641119
6/23/2006,1015,Chlorophyll-a,12.7,3,VT,200641133
6/23/2006,1055,Chlorophyll-a,15.5,3,VT,200642201
7/14/2006,1130,Chlorophyll-a,6.51,3,VT,200641185
7/25/2006,1040,Chlorophyll-a,7.14,3,VT,200642272
7/28/2006,,Chlorophyll-a,22.8,2,VT,200641207
8/8/2006,1035,Chlorophyll-a,6.22,3,VT,200642296
8/11/2006,930,Chlorophyll-a,4.44,3,VT,200641236
8/24/2006,1035,Chlorophyll-a,17,3,VT,200642346
8/25/2006,1030,Chlorophyll-a,3.69,3,VT,200641271
9/7/2006,1025,Chlorophyll-a,30.9,2.8,VT,200642371
9/8/2006,1200,Chlorophyll-a,24.4,3,VT,200641310
9/22/2006,,Chlorophyll-a,30.7,2.2,VT,200641323
9/22/2006,1100,Chlorophyll-a,36,2.2,VT,200642406
10/6/2006,1130,Chlorophyll-a,9.77,3,VT,200641337
10/6/2006,1100,Chlorophyll-a,12.6,2.6,VT,200642421
10/19/2006,1030,Chlorophyll-a,11.7,3,VT,200642430
4/26/2007,1050,Chlorophyll-a,8.36,2,VT,200742137
5/11/2007,1035,Chlorophyll-a,11.5,3.5,VT,200742154
5/18/2007,1100,Chlorophyll-a,6.25,3.5,VT,200741053
5/29/2007,1030,Chlorophyll-a,11,3,VT,200742185
6/1/2007,1045,Chlorophyll-a,18.9,2.4,VT,200741068
6/13/2007,1035,Chlorophyll-a,14.1,3,VT,200742207
6/14/2007,1100,Chlorophyll-a,21.3,3.7,VT,200741093
6/29/2007,1100,Chlorophyll-a,11.2,3.5,VT,200741125
7/2/2007,1140,Chlorophyll-a,8.37,3,VT,200742228
7/12/2007,1100,Chlorophyll-a,10.5,3.5,VT,200741142
7/18/2007,1030,Chlorophyll-a,15.3,3,VT,200742252
7/25/2007,1100,Chlorophyll-a,8.66,3.2,VT,200741183
8/7/2007,1100,Chlorophyll-a,9.41,4,VT,200741233
8/13/2007,1140,Chlorophyll-a,12.7,3,VT,200742306
8/20/2007,1300,Chlorophyll-a,5.67,3.5,VT,200741259
8/29/2007,1025,Chlorophyll-a,4.84,3,VT,200742338
9/4/2007,1415,Chlorophyll-a,5.54,3.5,VT,200741284
9/18/2007,1100,Chlorophyll-a,5.47,3.5,VT,200741316
9/18/2007,1215,Chlorophyll-a,4.58,3.5,VT,200742364
10/9/2007,1100,Chlorophyll-a,9.62,3,VT,200742380
10/10/2007,1230,Chlorophyll-a,4.54,3.5,VT,200741345
10/25/2007,1050,Chlorophyll-a,5.36,2,VT,200742405
5/2/2008,1040,Chlorophyll-a,8.92,3.5,VT,200842119
5/16/2008,1145,Chlorophyll-a,9.19,4,VT,200842139
5/30/2008,1050,Chlorophyll-a,7.41,3.5,VT,200842159
6/5/2008,1230,Chlorophyll-a,10.8,3.5,VT,200841038
6/13/2008,1045,Chlorophyll-a,14.6,3.5,VT,200842181
6/25/2008,1035,Chlorophyll-a,23.4,2,VT,200842200
6/27/2008,1030,Chlorophyll-a,18.9,3,VT,200841049
7/8/2008,1030,Chlorophyll-a,10.2,2.4,VT,200841052
7/15/2008,1045,Chlorophyll-a,1.08,3,VT,200842248
7/29/2008,900,Chlorophyll-a,22.3,2.2,VT,200841080
8/6/2008,1045,Chlorophyll-a,14.8,3.5,VT,200842304
8/12/2008,1030,Chlorophyll-a,72.6,2.2,VT,200841112
8/20/2008,1050,Chlorophyll-a,44.9,2,VT,200842347
8/22/2008,1000,Chlorophyll-a,26.8,2.2,VT,200841120
9/2/2008,1145,Chlorophyll-a,24.3,2.2,VT,200841123
9/4/2008,1030,Chlorophyll-a,20.6,2,VT,200842384
9/17/2008,1040,Chlorophyll-a,12.9,2.5,VT,200842415
9/23/2008,1115,Chlorophyll-a,9.08,3.5,VT,200841131
10/7/2008,1040,Chlorophyll-a,8.89,3,VT,200842455
10/8/2008,1030,Chlorophyll-a,11.4,3,VT,200841149
11/5/2008,1030,Chlorophyll-a,7.28,2,VT,200842477
4/15/2009,1030,Chlorophyll-a,12.7,1.6,VT,200942081
4/30/2009,1025,Chlorophyll-a,5.39,2.6,VT,200942097
5/18/2009,1040,Chlorophyll-a,13.1,1.8,VT,200942148
6/1/2009,1045,Chlorophyll-a,3.81,3,VT,200941082
6/2/2009,1020,Chlorophyll-a,4.16,2.4,VT,200942194
6/17/2009,1055,Chlorophyll-a,12.3,3,VT,200942225
7/9/2009,1050,Chlorophyll-a,6.83,3,VT,200942667
7/15/2009,1045,Chlorophyll-a,14.6,2.2,VT,200941113
7/21/2009,1045,Chlorophyll-a,9.29,3,VT,200941121
7/28/2009,1050,Chlorophyll-a,6.38,3,VT,200942295
8/7/2009,1030,Chlorophyll-a,5.1,2.4,VT,200941147
8/11/2009,1050,Chlorophyll-a,2.02,2.6,VT,200942336
8/17/2009,1030,Chlorophyll-a,7.77,2.4,VT,200941155
9/1/2009,1030,Chlorophyll-a,4.45,3,VT,200941169
9/1/2009,1055,Chlorophyll-a,6.75,3,VT,200942403
9/17/2009,1030,Chlorophyll-a,2.71,3,VT,200942461
9/21/2009,1100,Chlorophyll-a,5.18,3,VT,200941184
10/5/2009,1045,Chlorophyll-a,7.53,3,VT,200942478
4/12/2010,1035,Chlorophyll-a,7.83,2.6,VT,201042106
5/4/2010,1040,Chlorophyll-a,8.05,3,VT,201042145
5/18/2010,1050,Chlorophyll-a,12.8,2.6,VT,201042163
6/2/2010,1050,Chlorophyll-a,1.92,3,VT,201041516
6/2/2010,1050,Chlorophyll-a,3,3,VT,201042183
6/15/2010,1030,Chlorophyll-a,6.6,3,VT,201041539
6/25/2010,1050,Chlorophyll-a,9.39,3,VT,201042210
7/6/2010,1030,Chlorophyll-a,6.01,3,VT,201041564
7/14/2010,1205,Chlorophyll-a,7.52,3,VT,201042256
7/20/2010,1000,Chlorophyll-a,7.24,3,VT,201041590
7/29/2010,1050,Chlorophyll-a,26.6,2.4,VT,201042281
8/5/2010,1050,Chlorophyll-a,18,3,VT,201041616
8/11/2010,1045,Chlorophyll-a,18.8,2.4,VT,201042317
8/17/2010,1013,Chlorophyll-a,23.2,2,VT,201041636
8/24/2010,1010,Chlorophyll-a,39.4,1.2,VT,201042353
9/8/2010,1035,Chlorophyll-a,32.8,2,VT,201042394
10/4/2010,1030,Chlorophyll-a,27.3,1,VT,201041692
10/5/2010,1045,Chlorophyll-a,22.3,1.2,VT,201042470
5/12/2011,1040,Chlorophyll-a,5.37,1.4,VT,201142259
6/8/2011,1145,Chlorophyll-a,4.2,3,VT,201142328
6/22/2011,1020,Chlorophyll-a,8.43,3,VT,201141337
6/22/2011,1050,Chlorophyll-a,14.2,3,VT,201142347
7/8/2011,1025,Chlorophyll-a,6.79,3,VT,201142374
7/13/2011,950,Chlorophyll-a,7.62,3,VT,201141355
7/19/2011,1040,Chlorophyll-a,13,3,VT,201141363
7/20/2011,1005,Chlorophyll-a,8.88,3,VT,201142396
8/1/2011,1040,Chlorophyll-a,5.84,3,VT,201141390
8/12/2011,1025,Chlorophyll-a,9.3,3,VT,201142466
8/17/2011,1010,Chlorophyll-a,19.5,2,VT,201141417
9/12/2011,1015,Chlorophyll-a,16.8,2,VT,201142547
9/26/2011,1000,Chlorophyll-a,27.6,2,VT,201142566
10/14/2011,1205,Chlorophyll-a,15.8,2.8,VT,201142626
11/8/2011,1005,Chlorophyll-a,4.03,2.8,VT,201142642
4/13/2012,1040,Chlorophyll-a,10.2,2.6,VT,201242084
5/14/2012,1050,Chlorophyll-a,16.25,2.6,VT,201242162
5/21/2012,1220,Chlorophyll-a,3.48,2.8,VT,201241305
6/5/2012,1030,Chlorophyll-a,4.79,3,VT,201241324
6/11/2012,1010,Chlorophyll-a,15.18,3,VT,201242215
6/20/2012,1013,Chlorophyll-a,5.64,3,VT,201241841
7/2/2012,1130,Chlorophyll-a,3.93,3,VT,201241363
7/3/2012,1120,Chlorophyll-a,7.32,3,VT,201242271
7/16/2012,1125,Chlorophyll-a,3.82,3,VT,201241386
7/19/2012,1140,Chlorophyll-a,4.11,3,VT,201242295
8/2/2012,1107,Chlorophyll-a,7.65,3,VT,201241404
8/6/2012,1020,Chlorophyll-a,13.19,2.8,VT,201242351
8/21/2012,1200,Chlorophyll-a,32.7,2.4,VT,201242377
8/27/2012,1000,Chlorophyll-a,16.25,2,VT,201241439
9/6/2012,1130,Chlorophyll-a,30.8,1,VT,201241452
9/14/2012,1245,Chlorophyll-a,27.51,1.6,VT,201242443
9/26/2012,1000,Chlorophyll-a,11.1,2,VT,201241477
10/11/2012,950,Chlorophyll-a,8.98,3,VT,201241494
10/11/2012,1220,Chlorophyll-a,15.5,3,VT,201242475
5/6/2013,1055,Chlorophyll-a,9.01,2.8,VT,201342101
5/30/2013,1040,Chlorophyll-a,4.19,2,VT,201342168
6/12/2013,1050,Chlorophyll-a,3.58,3,VT,201341418
6/24/2013,1013,Chlorophyll-a,8.38,3,VT,201341440
6/24/2013,1015,Chlorophyll-a,19.35,3,VT,201342188
7/5/2013,1027,Chlorophyll-a,3.74,3,VT,201341460
7/15/2013,1025,Chlorophyll-a,10.97,3,VT,201342230
7/17/2013,946,Chlorophyll-a,8.14,3,VT,201341485
7/30/2013,1020,Chlorophyll-a,45.03,3,VT,201342249
7/31/2013,1045,Chlorophyll-a,5.73,2.5,VT,201341510
8/26/2013,1052,Chlorophyll-a,4.95,3,VT,201341529
9/3/2013,1010,Chlorophyll-a,5.96,3,VT,201342325
9/16/2013,1055,Chlorophyll-a,19.77,2.5,VT,201341554
9/27/2013,1230,Chlorophyll-a,46.85,2.5,VT,201341581
10/9/2013,1230,Chlorophyll-a,5.87,3,VT,201341594
10/11/2013,1010,Chlorophyll-a,4.7,3,VT,201342358
5/9/2014,1035,Chlorophyll-a,9.72,2.6,VT,201442152
5/12/2014,1107,Chlorophyll-a,9.08,2.6,VT,201441400
6/2/2014,1100,Chlorophyll-a,7.48,2.6,VT,201441418
6/2/2014,1040,Chlorophyll-a,9.11,2.6,VT,201442173
6/20/2014,1208,Chlorophyll-a,4.19,3,VT,201441447
6/23/2014,1040,Chlorophyll-a,2.92,3,VT,201442203
7/9/2014,1030,Chlorophyll-a,5.82,2,VT,201441460
7/15/2014,955,Chlorophyll-a,15.29,3,VT,201442245
7/21/2014,1020,Chlorophyll-a,6.44,3,VT,201441493
8/5/2014,1030,Chlorophyll-a,27.84,2.6,VT,201442309
8/6/2014,1054,Chlorophyll-a,19.22,3,VT,201441517
8/20/2014,1020,Chlorophyll-a,11.98,3,VT,201442350
8/21/2014,1027,Chlorophyll-a,18.57,2.6,VT,201441538
9/12/2014,1030,Chlorophyll-a,37.49,2,VT,201441557
9/19/2014,1020,Chlorophyll-a,43.65,2.2,VT,201442393
9/30/2014,1000,Chlorophyll-a,7.38,3,VT,201441578
10/9/2014,950,Chlorophyll-a,2.16,2.8,VT,201442419
10/29/2014,1040,Chlorophyll-a,2.7,3,VT,201441612
5/4/2015,1000,Chlorophyll-a,6.45,3,VT,201542068
5/18/2015,1030,Chlorophyll-a,14.3,3,VT,201541300
6/3/2015,938,Chlorophyll-a,2.48,3,VT,201541318
6/5/2015,1000,Chlorophyll-a,4.78,3,VT,201542148
6/16/2015,953,Chlorophyll-a,1.64,3,VT,201541337
7/7/2015,1151,Chlorophyll-a,9.24,3,VT,201541370
7/8/2015,1020,Chlorophyll-a,8.96,3,VT,201542225
7/20/2015,1035,Chlorophyll-a,18.48,2.8,VT,201542250
7/24/2015,1013,Chlorophyll-a,6.68,3,VT,201541395
8/4/2015,955,Chlorophyll-a,18.35,3,VT,201541406
8/6/2015,1020,Chlorophyll-a,2.66,3,VT,201542287
8/18/2015,1019,Chlorophyll-a,28.73,2.8,VT,201541456
8/19/2015,1020,Chlorophyll-a,27.63,2,VT,201542321
9/1/2015,1000,Chlorophyll-a,26.91,2.4,VT,201541481
9/4/2015,1015,Chlorophyll-a,25.22,2.4,VT,201542355
9/17/2015,1015,Chlorophyll-a,14.15,2.4,VT,201542378
9/18/2015,1000,Chlorophyll-a,16.37,2,VT,201541505
10/7/2015,1000,Chlorophyll-a,7.55,2.4,VT,201542422
10/8/2015,1000,Chlorophyll-a,5.03,3,VT,201541532
10/21/2015,1040,Chlorophyll-a,12.28,3,VT,201542444
5/12/2016,1015,Chlorophyll-a,9.57,2.6,VT,201642113
5/27/2016,934,Chlorophyll-a,15.83,3,VT,201641318
6/1/2016,930,Chlorophyll-a,5.26,3,VT,201641323
6/15/2016,1020,Chlorophyll-a,15.5,3,VT,201642156
6/16/2016,927,Chlorophyll-a,28.8,3,VT,201641346
7/6/2016,1020,Chlorophyll-a,6,3,VT,201642191
7/7/2016,945,Chlorophyll-a,6.69,3,VT,201641366
7/19/2016,937,Chlorophyll-a,1.41,3,VT,201641390
7/21/2016,950,Chlorophyll-a,5.77,3,VT,201642224
8/3/2016,1030,Chlorophyll-a,11.8,3,VT,201642244
8/5/2016,927,Chlorophyll-a,6.41,3,VT,201641422
8/16/2016,925,Chlorophyll-a,12.05,3,VT,201641438
8/19/2016,1000,Chlorophyll-a,11.53,2.6,VT,201642288
9/8/2016,930,Chlorophyll-a,38.81,2,VT,201641468
9/16/2016,1000,Chlorophyll-a,54.65,1.6,VT,201642330
9/29/2016,1025,Chlorophyll-a,46.02,1.4,VT,201642365
9/30/2016,1245,Chlorophyll-a,39.21,1.4,VT,201641498
